,first_protein_size,second_protein_size,target
62,1104,6204,-4.0
63,3228,2964,-6.892790030352131
64,2850,2931,-6.892790030352131
65,6234,3309,-6.920818753952375
66,6609,558,-6.8326826652518236
67,3933,9327,-5.0
68,5241,1863,-5.698970004336019
69,6708,3195,-4.481486060122112
70,5133,6813,-6.522878745280337
71,4221,2877,-6.455931955649724
72,6060,609,-6.4089353929735005
73,6828,585,-6.4089353929735005
74,6564,4338,-6.301029995663981
75,12561,4758,-7.301029995663981
76,4200,2877,-6.119186407719209
77,5319,11886,-6.045757490560675
78,4896,3201,-5.698970004336019
79,1125,6333,-5.1938200260161125
80,9309,2256,-4.931814138253839
81,10011,1173,-7.958607314841775
82,7374,678,-7.749579997691106
83,7464,2757,-3.0
84,12246,1044,-7.0
85,2967,2946,-7.0
86,1104,4818,-5.920818753952375
87,6540,381,-3.8239087409443187
88,3531,4968,-5.761953896871205
89,3609,5055,-8.0
90,8220,1701,-8.0
91,3045,3324,-7.537602002101044
92,7296,2688,-3.6989700043360187
93,4581,2076,-3.6020599913279625
94,3558,4980,-6.568636235841013
95,6420,327,-3.4814860601221125
96,6819,261,-3.408935392973501
97,2826,2205,-2.388276691992658
98,8241,3837,-7.301029995663981
99,4671,5391,-6.221848749616356
100,4491,5343,-6.221848749616356
101,2856,3300,-9.113509274827518
102,1947,1590,-5.062983892535185
103,6318,528,-8.958607314841775
104,3039,3318,-9.0
105,2484,1746,-2.4814860601221125
106,11310,2493,-5.3979400086720375
107,6183,6354,-5.154901959985743
108,7926,4410,-7.97061622231479
109,6738,4032,-4.903089986991944
110,5799,462,-5.991399828238082
111,1746,3174,-2.9788107009300617
112,7083,2820,-5.962573502059376
113,2853,2787,-7.0
114,2703,6369,-6.958607314841775
115,5535,1599,-9.795880017344075
116,8451,1740,-8.0
117,4101,3411,-4.552841968657781
118,7977,1884,-4.552841968657781
119,4839,3150,-6.698970004336019
120,6717,4458,-1.431798275933005
121,1950,1350,-4.522878745280337
122,4569,3069,-6.3979400086720375
123,2805,3675,-5.366531544420414
124,4464,18078,-4.275724130399211
125,6357,3984,-5.235077015350112
126,1503,1821,-4.1938200260161125
127,6195,522,-7.179798540514359
128,5580,1614,-12.221848749616356
129,8001,1629,-6.187086643357144
130,3201,3039,-6.154901959985743
131,4584,3183,-7.045757490560675
132,12363,2775,-5.698970004336019
133,9603,876,-5.42021640338319
134,12438,2841,-8.221848749616356
135,12579,2823,-7.920818753952375
136,6795,4131,-4.7447274948966935
137,12000,2730,-6.0
138,12786,2802,-4.0
139,12327,2832,-5.920818753952375
140,6987,6324,-2.0
141,8205,8295,-7.6020599913279625
142,3675,2367,-3.657577319177794
143,3303,3282,-6.638272163982407
144,2076,972,-3.5528419686577806
145,3474,537,-7.698970004336019
146,12612,2736,-5.3979400086720375
147,2907,2859,-4.3979400086720375
148,1206,1968,-3.2441251443275085
149,9348,1302,-4.301029995663981
150,2883,5691,-7.086186147616283
151,4542,2364,-6.086186147616283
152,13305,1311,-8.823908740944319
153,2157,3621,-11.265200170411154
154,4263,3363,-5.113509274827518
155,3678,543,-7.958607314841775
156,7689,2655,-4.903089986991944
157,2208,3843,-10.774690718274137
158,9636,813,-4.721246399047171
159,3468,3090,-5.935542010773082
160,3015,2817,-5.935542010773082
161,2844,2745,-5.935542010773082
162,4932,846,-2.9208187539523753
163,6417,5409,-3.8827287043442356
164,21342,1071,-6.806875401645539
165,7413,1617,-6.795880017344075
166,4062,654,-8.0
167,3219,3234,-7.627087997029894
168,2946,2994,-6.698970004336019
169,3627,555,-5.6777807052660805
170,2280,3783,-9.642065152999546
171,3216,3072,-6.638272163982407
172,7257,6546,-5.522878745280337
173,8664,4875,-5.468521082957745
174,11445,3969,-6.455931955649724
175,3069,495,-7.364516253185088
176,7047,4227,-7.356547323513812
177,7032,4305,-7.337242168318426
178,8364,4545,-4.318758762624412
179,6321,4380,-7.3979400086720375
180,5538,4317,-7.3979400086720375
181,8370,1968,-6.301029995663981
182,8286,4704,-5.2839966563652006
183,3822,618,-7.102372908709558
184,6012,6510,-3.154901959985743
185,17475,795,-6.080921907623926
186,2265,1878,-6.0338582672609675
187,3963,7512,-6.022276394711152
188,5808,1590,-12.0
189,8334,3705,-5.522878745280337
190,10215,3615,-8.327902142064282
191,2979,5268,-2.1739251972991736
192,8436,3408,-8.221848749616356
193,2673,2379,-5.026872146400302
194,2748,3894,-4.8297382846050425
195,4425,3363,-3.96657624451305
196,7392,14736,-7.0
197,9393,3678,-6.94692155651658
198,5778,5859,-2.9208187539523753
199,8556,7413,-6.920818753952375
200,3654,9762,-6.853871964321762
201,9321,9378,-3.8239087409443187
202,11145,360,-5.0
203,9111,9552,-4.6777807052660805
204,4680,3813,-5.692503962086787
205,4881,2985,-6.698970004336019
206,9096,5370,-6.665546248849069
207,4284,834,-6.6777807052660805
208,7725,5382,-6.481486060122113
209,5628,684,-3.309803919971486
210,5853,2259,-6.275724130399211
211,22872,6378,-4.187086643357144
212,5055,600,-4.187086643357144
213,3498,9882,-6.131355561605174
214,4212,4902,-6.102372908709558
215,2559,5988,-3.0177287669604316
216,2676,1734,-8.920818753952375
217,2259,2832,-6.0
218,3435,3924,-8.468521082957745
219,9090,8469,-5.4089353929735005
220,4401,2070,-5.354577730650908
221,2511,2652,-5.100179497572904
222,2616,2673,-4.892790030352131
223,4101,1875,-4.769551078621726
224,23697,1710,-5.756961951313706
225,6147,3210,-8.744727494896694
226,4158,621,-6.7447274948966935
227,8268,18705,-5.698970004336019
228,4860,5463,0.32633586092875144
229,2859,2355,-2.661543506395395
230,4329,4725,-6.657577319177793
231,11256,633,-6.638272163982407
232,3822,621,-7.698970004336019
233,3987,645,-7.698970004336019
234,4101,732,-7.698970004336019
235,4899,5523,-1.5086383061657274
236,4593,726,-4.42021640338319
237,3372,4476,-3.5228787452803374
238,11358,1104,-6.455931955649724
239,7731,1860,-5.443697499232712
240,5223,1815,-5.414539270491499
241,4257,4950,-10.522878745280337
242,4908,5520,-1.3036436112666678
243,6768,516,-6.38933983691012
244,3528,4491,-5.3979400086720375
245,2421,1041,-3.337242168318426
246,5016,5601,-1.2924298239020637
247,3774,3858,-9.167491087293763
248,4578,333,-4.055517327849831
249,9999,11889,-7.026872146400302
250,5004,5595,-0.031517051446064856
251,5160,1953,-8.0
252,4341,9429,-10.0
253,7899,7578,-5.42021640338319
254,9816,2673,-5.2839966563652006
255,13323,708,-5.275724130399211
256,7857,7248,-5.259637310505756
257,3723,1593,-5.167491087293763
258,6729,4137,-7.958607314841775
259,6708,6546,-10.958607314841775
260,7653,2694,-4.823908740944319
261,4551,2085,-4.823908740944319
262,4311,2133,-3.9507819773298185
263,3645,5205,-5.886056647693163
264,3990,558,-5.823908740944319
265,3984,2772,-7.698970004336019
266,4797,2523,-7.494850021680094
267,13536,5409,-7.4089353929735005
268,2988,2271,-4.167491087293763
269,8370,7008,-7.151810883008602
270,9270,7080,-7.136677139879544
271,10461,1761,-3.042871802323187
272,2970,3090,-6.040958607678906
273,1911,3741,-6.698970004336019
274,2589,2619,-6.2839966563652006
275,2466,2370,-6.522878745280337
276,10599,735,-9.522878745280337
277,7758,579,-6.337242168318426
278,6213,2397,-9.086186147616283
279,2076,4203,-5.552841968657781
280,9744,7248,-5.431798275933005
281,2343,5574,-8.366531544420413
282,4380,4758,-5.366531544420414
283,2019,3558,-5.2839966563652006
284,4827,4983,-5.251811972993799
285,8604,408,-5.301029995663981
286,5892,8016,-5.187086643357144
287,3783,567,-4.886056647693163
288,9441,594,-4.8124792791635365
289,4440,8094,-4.7447274948966935
290,5994,1896,-2.9718355805755303
291,7092,3420,-6.943095148663527
292,8868,4851,-6.876148359032914
293,1788,9213,-5.853871964321762
294,7593,582,-5.782516055786093
295,5442,7050,-6.767003889607846
296,5043,3987,-6.749579997691106
297,2796,3015,-5.721246399047171
298,2688,3744,-14.0
299,3825,3894,-4.679853713888946
300,10626,678,-7.638272163982407
301,4173,4575,-4.638272163982407
302,10599,666,-7.619788758288394
303,5499,6279,-4.619788758288394
304,10569,507,-7.568636235841012
305,4695,4683,-7.537602002101044
306,6135,6972,-4.5376020021010435
307,7881,795,-6.692503962086787
308,5991,8979,-6.698970004336019
309,6036,2217,-4.494850021680094
310,9567,603,-4.468521082957745
311,5976,2448,-4.3872161432802645
312,1959,3774,-3.3767507096020997
313,4566,6948,-5.301029995663981
314,2925,13356,-6.2441251443275085
315,2316,6090,-6.236572006437063
316,9000,3660,-7.180456064458132
317,4401,3072,-4.221848749616356
318,4422,7359,-4.113509274827518
319,6066,1821,-4.026872146400302
320,5757,480,-6.00436480540245
321,10464,783,-8.958607314841775
322,3969,7383,-4.522878745280337
323,1773,567,-5.85078088734462
324,4980,1638,-5.785156151952302
325,16770,1200,-8.744727494896694
326,2814,3507,-5.596879478824182
327,8463,3021,-5.6020599913279625
328,3780,2553,-8.570247719997592
329,6741,6069,-8.585026652029182
330,10395,927,-5.568636235841012
331,5442,7941,-5.5376020021010435
332,6999,480,-5.494850021680094
333,8127,4284,-5.443697499232712
334,5118,3006,-5.522878745280337
335,6087,1575,-5.301029995663981
336,4659,5001,-5.221848749616356
337,11184,744,-4.987162775294828
338,4158,2796,-7.892790030352131
339,9672,2901,-7.920818753952375
340,13416,5493,-7.853871964321762
341,3888,8058,-10.744727494896694
342,2772,3027,-3.9030899869919438
343,2805,2349,-6.920818753952375
344,2616,2232,-6.853871964321762
345,2439,11292,-6.795880017344075
346,7341,3756,-5.707743928643524
347,3804,2775,-8.0
348,3915,3729,-8.0
349,4740,1617,-7.667561540084395
350,5667,6243,-6.681310730052254
351,8667,663,-5.698970004336019
352,5547,1890,-6.698970004336019
353,8010,3276,-6.657577319177793
354,10293,3471,-6.55129368009492
355,10044,7044,-6.546681659952962
356,6213,4170,-4.468521082957745
357,1773,4806,-7.431798275933005
358,4269,3234,-5.522878745280337
359,3747,1761,-6.42021640338319
360,3360,3864,-4.3872161432802645
361,9090,705,-4.36251027048749
362,8949,690,-6.301029995663981
363,7302,1530,-9.2839966563652
364,12036,474,-3.2403321553103694
365,3813,8973,-4.301029995663981
366,13524,5427,-7.0915149811213505
367,16536,1293,-10.075720713938118
368,7899,6801,-6.003926345514724
369,4542,10062,-6.42021640338319
370,9591,543,-6.301029995663981
371,6588,3033,-8.958607314841775
372,3798,639,-5.7447274948966935
373,4485,3603,-5.494850021680094
374,3828,1689,-5.376750709602099
375,2973,3249,-5.096910013008056
376,1884,6102,-5.036212172654444
377,4974,2376,-8.008773924307505
378,5820,3090,-7.921543181946707
379,4479,1920,-4.958607314841775
380,3729,3282,-7.801342913045577
381,4428,4182,-6.987162775294828
382,1011,1056,-5.897566294318664
383,9642,2988,-9.869666231504993
384,18552,8802,-5.835647144215563
385,2922,2814,-5.804100347590766
386,5481,753,-5.752026733638194
387,4548,9267,-3.7423214251308154
388,11049,2724,-14.0
389,6678,6660,-4.6020599913279625
390,2382,2391,-4.568636235841013
391,11571,6897,-0.6020599913279624
392,11988,2310,-6.552841968657781
393,3354,2820,-7.447331783887806
394,22743,1326,-5.508638306165727
395,3693,2493,-4.366531544420414
396,4308,21567,-7.327902142064283
397,15231,1584,-6.318758762624412
398,7500,2019,-7.294992040666664
399,3429,2919,-7.279840696594043
400,7638,6516,-5.297569463554475
401,9006,1284,-4.301029995663981
402,6645,1338,-4.1791420105603
403,8325,2037,-4.173925197299173
404,5211,6576,-7.013228265733755
405,15204,1551,-6.008773924307505
406,1302,1362,-8.0
407,3708,624,-11.0
408,3885,3954,-8.806875401645538
409,5811,2751,-6.0
410,9054,10557,-8.638272163982407
411,3000,16209,-5.6020599913279625
412,2163,5340,-8.301029995663981
413,21117,13026,-5.221848749616356
414,8994,2955,-5.154901959985743
415,3783,1101,-4.8297382846050425
416,1677,2868,-7.853871964321762
417,5625,5745,-7.853871964321762
418,1863,2526,-4.853871964321762
419,7338,4371,-4.723538195826756
420,14577,2232,-7.7447274948966935
421,4014,1104,-4.7447274948966935
422,9585,1083,-5.966576244513051
423,5244,5349,-7.0
424,13218,9447,-3.958607314841775
425,8412,1854,-3.869666231504994
426,4221,3189,-5.85078088734462
427,3966,1986,-9.853871964321762
428,3006,4350,-6.795880017344075
429,6492,7719,-6.769551078621726
430,4023,3024,-5.7447274948966935
431,5697,3876,-5.0
432,2136,2913,-4.692503962086787
433,6702,2394,-4.6020599913279625
434,7779,1821,-4.5376020021010435
435,6774,2544,-6.621602099051862
436,10278,8268,-5.603800652904264
437,4023,1470,-5.552841968657781
438,11838,1596,-4.698970004336019
439,8769,696,-6.482804102050026
440,7008,1392,-4.492144128304169
441,6915,930,-2.4559319556497243
442,9096,5745,-5.449160394934215
443,3771,1866,-7.351639989019068
444,8142,816,-4.267606240177032
445,6810,2157,-7.1938200260161125
446,6198,3018,-4.167491087293763
447,6828,1029,-4.156144577376839
448,4203,3195,-6.2076083105017466
449,3981,5223,-6.070581074285707
450,11316,8547,-7.036684488613889
451,3948,588,-7.00436480540245
452,7128,3078,-9.698970004336019
453,7422,2820,-5.8696662315049934
454,6909,837,-5.7447274948966935
455,2955,4980,-5.431798275933005
456,8700,519,-5.327902142064283
457,3774,654,-8.045757490560675
458,3576,4227,-4.958607314841775
459,3363,633,-4.72584215073632
460,3165,702,-3.96657624451305
461,5910,1353,-4.0
462,6996,696,-3.9172146296835497
463,7947,870,-5.910094888560602
464,20058,19869,-3.8728952016351923
465,4560,4407,-5.85078088734462
466,2502,4818,-6.804100347590766
467,4158,1656,-6.769551078621726
468,3102,801,-3.721246399047171
469,6909,2853,-7.657577319177793
470,4611,3663,-4.638272163982407
471,10416,513,-9.684029654543082
472,4539,1410,-6.657577319177793
473,4095,3288,-5.5968794788241825
474,3726,3549,-6.6020599913279625
475,4902,4125,-3.585026652029182
476,6594,2487,-4.698970004336019
477,6585,3177,-7.494850021680094
478,8856,8259,-4.481486060122112
479,9630,1821,-5.490931954982838
480,4074,585,-6.481486060122113
481,2733,2418,-6.455931955649724
482,2892,6738,-6.455931955649724
483,21831,3642,-5.43533393574791
484,8298,528,-7.309803919971486
485,2445,1938,-5.382999658879101
486,5463,5049,-6.318758762624412
487,7194,696,-3.318758762624413
488,2094,2283,-7.3979400086720375
489,3543,4293,-4.2839966563652006
490,5958,1341,-4.236572006437063
491,1881,1824,-6.167491087293763
492,20058,19854,-4.102372908709558
493,9915,483,-6.151810883008602
494,4227,2817,-6.154901959985743
495,4296,3618,-2.1023729087095586
496,3120,717,-4.096910013008056
497,9699,1929,-7.013228265733755
498,1725,6114,-6.0655015487564325
499,2589,1740,-5.920818753952375
500,3672,3273,-8.886056647693163
501,9972,1125,-5.568636235841012
502,6180,3006,-8.4089353929735
503,18165,1575,-5.309803919971486
504,669,4344,-5.136677139879544
505,18273,1635,-5.102372908709558
506,10992,249,-5.154901959985743
507,6102,1875,-5.055517327849831
508,6168,5064,-5.022276394711152
509,4074,711,-4.886056647693163
510,12546,2865,-4.853871964321762
511,11865,2772,-4.769551078621726
512,17700,1323,-4.0
513,5760,3144,-6.950781977329818
514,5799,501,-5.94692155651658
515,9690,3285,-6.958607314841775
516,8532,1590,-5.920818753952375
517,13329,1200,-5.903089986991944
518,8049,3972,-5.801342913045577
519,4164,3135,-5.777283528852417
520,8016,783,-5.772113295386326
521,4182,1848,-3.749579997691106
522,6687,399,-5.0
523,12453,2727,-5.0
524,3861,969,-4.667561540084395
525,25341,25533,-3.696803942579511
526,8349,4974,-5.663540266151471
527,2166,2151,-6.628932137728264
528,3372,771,-6.585026652029182
529,6267,6585,-7.455931955649724
530,11841,3168,-7.431798275933005
531,5589,3639,-8.518557371497694
532,7725,1056,-6.522878745280337
533,3012,2727,-5.471083299722345
534,7695,1761,-6.444905551421681
535,6879,1050,-5.452225294612178
536,11364,13833,-9.42021640338319
537,3135,3009,-7.522878745280337
538,984,2580,-5.374687549038326
539,3042,558,-3.337242168318426
540,10089,792,-7.3979400086720375
541,16281,1299,-4.229147988357855
542,4293,1329,-6.298432014944073
543,9882,726,-6.301029995663981
544,11853,14208,-9.2839966563652
545,7425,1635,-6.274088367704952
546,5382,1011,-6.236572006437063
547,18165,1620,-4.187086643357144
548,6645,387,-5.171275672861209
549,2598,2151,-7.154901959985743
550,4539,591,-7.050609993355087
551,6300,6267,-5.070581074285707
552,2724,4665,-7.096910013008056
553,11502,2292,-4.041436116778033
554,4740,11466,-4.036212172654444
555,7128,2526,-7.022276394711152
556,7068,2142,-5.769551078621726
557,5742,10149,-5.522878745280337
558,5562,6423,-5.259637310505756
559,4941,606,-5.096910013008056
560,7389,408,-4.958607314841775
561,4143,1092,-4.790484985457369
562,6627,2781,-4.764471553092451
563,3195,639,-4.7447274948966935
564,7821,8487,-7.0
565,4803,897,-6.866461091629782
566,7713,1080,-6.854492828590337
567,2727,540,-5.79317412396815
568,4503,759,-4.605548319173784
569,5577,2964,-4.619788758288394
570,8799,2481,-6.698970004336019
571,5322,1944,-6.619788758288394
572,1419,2049,-3.6020599913279625
573,4725,489,-6.55129368009492
574,2580,1908,-6.5376020021010435
575,6441,2619,-4.496209316942819
576,7647,1029,-7.493494967595128
577,3159,555,-7.431798275933005
578,14319,1686,-5.508638306165727
579,4224,2532,-6.4089353929735005
580,12231,8310,-7.522878745280337
581,10542,672,-7.357535479757878
582,2595,7263,-5.379863945026242
583,2514,7791,-6.2441251443275085
584,10344,1092,-4.1249387366083
585,1395,1398,-4.119186407719209
586,1920,2229,-6.136677139879544
587,6138,1245,-5.052076380168273
588,4737,3051,-4.096910013008056
589,6426,3957,-7.031517051446065
590,7578,3717,-4.0
591,3270,3480,-8.88941028970075
592,6396,804,-5.795880017344075
593,4566,795,-5.7447274948966935
594,5838,3744,-5.6777807052660805
595,12333,2307,-5.542118103266008
596,11622,675,-5.221848749616356
597,5076,828,-5.173925197299173
598,7302,1725,-11.120330794367947
599,3321,7014,-5.096910013008056
600,10530,603,-8.045757490560675
601,3519,3147,-4.991399828238082
602,3858,2709,-4.920818753952375
603,4746,3369,-7.886056647693163
604,2796,3390,-7.853871964321762
605,4767,3318,-7.795880017344075
606,10146,8553,-3.9829666607012197
607,4866,4080,-6.97469413473523
608,4128,3576,-7.0
609,702,10203,-5.8996294548824375
610,3366,3690,-6.769551078621726
611,7611,1281,-6.739928612014925
612,6819,930,-6.7447274948966935
613,11010,606,-7.698970004336019
614,9477,1020,-4.698970004336019
615,3651,5994,-4.623423042943488
616,2745,2427,-7.585026652029182
617,759,10854,-5.6439741428068775
618,11319,2160,-6.6020599913279625
619,3330,3462,-5.530177984021837
620,8868,6384,-5.524038410807576
621,12984,699,-4.4736607226101555
622,3990,3000,-7.446116973356125
623,9774,2985,-7.4089353929735005
624,3648,3342,-5.515700160653214
625,4413,3894,-6.522878745280337
626,681,9609,-5.478861916295964
627,7152,1131,-5.464705879957229
628,2733,3228,-6.3979400086720375
629,8997,999,-3.3565473235138126
630,9042,6603,-6.309803919971486
631,4761,8445,-7.274905478918531
632,3183,2469,-6.292429823902063
633,2175,12429,-6.2441251443275085
634,1104,1113,-4.161150909262744
635,2340,540,-7.086186147616283
636,5286,1293,-10.050122295963126
637,12480,543,-6.0670191780768015
